id,tweet,sentiment
450,"So many things, just wrong in the latest @fiannafailparty web header pic! #GE16 #repealthe8th",2
451,Friday's article from @MHReform. Make #mentalhealth a #GE16 priority,5
452,Not much of a choice tho- Enda versus the pair who brought the Troika in.,2
453,\Isn't that what you tend to do during an election?\ \n~ P. Rabbitte\n #rtept #GE2016,4
454,A greats night canvass with @carrie_smyth - @labour candidate in D\u00fan Laoghaire #ge2016 #votesmyth1,8
455,Thank you @averilpower for pledging as a #GE16 candidate for people with neuro conditions  Pledge  #800000minds,8
456,"(2) FF &amp; SF are in a mini-race of their own, whichever is the main opp in next Dail will be in placed for a real bid for Gov next time #GE16",5
457,this nasty #racist #bigot will be no loss to #irish #politics #ge2016 #FiannaFail,0
458,Richard Curran: Noonan's insurance review looks like a pre-election sop: Michael Noonan has final...  NAMA Ireland,3
459,#GE16 is looking bad for Labour; but already has a new career in sight. #vinb,2
460,Ema wants a coronation! #fgaf16 #ge16,1
461,Just finished up in Finglas for @NoelRock with @MadiganCarol &amp; @TrinityYFG. Cue great response etc etc! #GE16,8
462,We have about 20 seats left for our @ONAIreland launch which will hear from a great panel of #ge16 experts. RSVP via,6
463,Well this is dissapointing...,2
464,If every group on 1% was in the debate no one would get a word in  #GE16,2
465,The official @rtenews Twitter account for Election 2016 information on Wexford #wx #ge16,5
466,Concerned at those promoting SF as a positive party for women when leader has dismal track record re reporting sexual abuse of women #GE16,0
467,Pay attention Ireland,1
468,61pc have now PAID #irishWATER\n\nOr is this\n\n#rtebias\n\n#ge16 #water #jan23 . #voteASH\n#right2water #cork #corknc #cnc,2
469,Looks like \Ashbourne Annie\ has had quite enough of @labour as its seat in Meath East looks gone. #GE16 @pppolitics,4
470,At least we can be spared the 'great canvass' tweets! Shatter in election dogfight   via @Independent_ie,2
471,Well done @StartStrongIrl on your campaign launch #EarlyYears #GE16,8
472,"Immigrants from Rep of Ireland musn't be allowed to vote in our EU referendum,hundreds of thousands of vote to stay",2
473,"@MoranPaul52 @rayhall9991 @bengilroy @Labours  she hasn't a hope paul  , the damage she caused to #Galway  is disgraceful  #ge16",0
474,NODDY\nNot everyone can be as perfect as Mr 93% @shaunconnolly01  @endakennyTD #GE2016,2
475,Well done @ellenfromnowon It's great to see so many LGBT people getting themselves involved!,9
476,We need #local #doctors #fireservice and #gardai . Make it an issue for #ge16,4
477,Every Irish adult on Facebook to be reminded to register for General Election 2016: Tomorrow (Wednesday 18 Jan...,5
478,"With all the #election talk coming up over the next six weeks, you will need an political expert's voice  #GE16",6
479,@JamesCsn Hope for something like this in the local paper then,7
480,@MyMindCentre @CASuicide Great work happening around the country. Let's make #mentalhealth priority in #GE2016 #ourstateofmind,9
481,"So @fiannafailparty have an Ard Fheis with no motions or elections. Hmmmm, I thought that was called a press conference. #GE16",2
482,This #ge2016 #cblive,5
483,Read the Student #GE16 Manifesto now:  are ready to #MakeASmartVote,6
484,Enda Kenny 2009: \I want the people to see that they get value for the money which they pay thru taxes\ #GE16,2
485,@ChildRightsIRL wants a child protection &amp; welfare audit on all emergency accommodation  @ISPCCChildline,5
486,"It's actually half the population earning less than \u20ac28,500 a year \n \n#peoplesdebate #vinb #GE16",2
487,Celebrate 1916 as a society we should hold our heads in shame #MyHomelessFamily Government priority is saving banks not the citizens #ge16,0
488,Imagine a pre #ge16 Micheal or Enda \Ireland for Life\ hitting bookshops on recommendation from PR guru. #shudder,1
489,It's hilarious the way FG/Lab ministers go on tv like they haven't been in power for the last 5 years. Just not credible. 5YRS! #ge16 #rtept,1
490,@c1aranquinn @ThereIsaidso #Mehole  and #CuteHoor laughing all the way to the bank #GE16,2
491,Will Ireland\u2019s General Election 2016 be fought and won on Facebook?  via @siliconrepublic #SocialMedia,5
492,Great canvass today with @carrie_smyth #GE16,8
493,#electwomen but only if\nThey are #HOT\n#GE16,8
494,.@KittyHollandIT clarifies facts of #Savita's death and the resultant HIQA findings ahead of #GE2016   #repealthe8th,5
495,"@AlanKelly shafts rural Ireland. No wind guidelines, just bluster. @AlexWhiteTD now the boss. @103wf @rtenews",1
496,Breaking: The latest #AlanKelly election #poster #AK47 #GE16 #vinb #DrivetimeRTE #rte #rtept,3
497,"Slashed Garda numbers, closing stations, crime rates soaring &amp; weak sentencing.Clearly the party of law &amp; order!  ",1
498,@Eamonn09827132 @SvtigerStephane \nYou won't have long to wait GE16!,6
499,"James Reilly, Monaghan 2008: \..we are men and women of honour in Fine Gael. We keep our word\ #GE16 ",2
500,Just looking at the low-lights of Inda's speech there. Precisely zero mention of homeless and healthcare crises. #fgaf16 #ge16 #EndaOUT,1
501,\The Green Party creates inclusive politics\ #VoteGreen2016 #GE16,8
502,Campaigning from a height today! #ge16 #selfie,7
503,Left-wing #GE16 candidates say they'll introduce a living wage of \u20ac11.50p/h- from @Junomaco,5
504,For the snaps from behind the scenes - add me and see story on snapchat #ge16,5
505,Many thanks for all those who left their warm sofas on such a frosty night to come to our campaign meeting tonight @RENUAIreland #GE16,9
506,sket2ndlevel: RT Andy_288: ShaneBeattyKFM Making sure we hold our #GE16 candidates to account on this major electi\u2026,4
507,Still to come on #morningfocus Clare #ge16 candidates are put through their paces on the issue of disability. Get in touch on 1850 400 964!,5
508,Rents have increased by 32% since April 2012 &amp; the number of properties available reduced by 83% since 2009 #askabouthousing #ge16 #af16,4
509,If you're counting numbers at #Right2Water marches.\nCOUNT the march\nNOT the standing.\nNot everyone stays to listen.\n#no2iw #GE16 #not1pipe,3
510,Slugger: S&amp;W\u2019s #GE16 Guide to Wexford: Beware the independent who doesn\u2019t fix potholes: #GE16 PROFILE: For man...,2
511,I hope everybody who can come to the anti Irish Water gatherings wherever they may be will do. Send a clear election message.! #countmyfeet,6
512,So @RENUAIreland have unveiled their Irish language policy - they don't have one. Reboot @RENUAIreland #ge16,3
513,"All the @FineGael  Dublin candidates and their probability of election, based on @pppolitics odds #GE16",5
514,"Liar, liar, liar Kenny doing what he does best!",0
515,"The response to @Labour on the doorsteps is, I understand, only massive.\n#GE16",8
516,"Stephen Collins: Nothing inevitable in politics, including Coalition\u2019s return#ge2016 #fg   via @IrishTimesOpEd",5
517,Cant believe the Labour Party come out promising to cut 3rd level fees again after last time Quinn promising a similar promise #GE16,2
518,Deputy Chair @CoraSherlock on @LMFMRADIO earlier this week discussing #GE16 and attempts to repeal the 8th amendment,5
519,Min Kelly's tenure's been a disaster &amp; blaming underfunded local councils isn't good enough #thereisabetterway #ge16,1
520,"\ud83d\udc4f Well done, society needs more people like this. It's a sad indictment on our self serving govt.",8
521,What decade have these gobshites a been living in? Big surprise coming down tracks. Can't wait. Roll on #ge16 #vinb,0
522,The long term consequences of returning an ultra R/wing  Government in Ireland #GE16 will be unimaginable poverty for the poor +marganilised,1
523,Read our constituency profile on #dubbn here #ge16,5
524,I can't believe it's supposed to be a month away and we still don't have an official date for the Irish general elections #GE16,2
525,"While balancing on one leg, Labour spokesperson Barnacles Bannon rejected calls for heavier Garda\u00ed \ud83d\udd25 #ge16",3
526,Vote for me as king of Ireland and il sort the country out in an hour (maybe two hours),8
527,Want to see absolute definition of our Taoiseach (&amp;rest of gov) pulling the wool over our eyes?\nHere you go.\n#GE16 \n,2
528,Noel Whelan reckons Joan Burton and Alan Kelly will lose their seats #ge16 Lets make it happen. #todaysor,6
529,#ISPCC #EndaKenny under pressure over accommodation for #homeless  via @Independent_ie,4
530,"Speaking at a casino in Crumlin, FG TD Congo Hamilton flatly rejected calls for wicked, wicked witchcraft. #ge16",4
531,"Not the biggest fan of Fine Gael but they're the most competent party we have in Ireland right now, which is why they're getting my vote",7
532,"recession about to begin, Kenny be sorry he didnt call #GE16 in #ge15",3
533,@KatieGHannon big mistake. UK very diff place to 'village' we live in. People here feel other's pain. FG arrogance palpable. Roll on #ge16,2
534,"#EndaJokes\nKnock knock\nWho's there?\nEnda\nYeah right, next you'll be telling me Gerry Adams wasn't in the IRA #GE16 \n",1
535,@fsh19 @martinlawlor It would be great if #GE16 was an honest realistic policy driven election,2
536,If enda had campaigned  #seanad would rightly be #abolished\nRerun #referendum #ge16\nStudents now registered 4 vote,3
537,Taoiseach decides election date . . . will reveal it at later date  []\n #ireland #news,3
538,#news Second-level teachers to stage one-day strike before election - Irish Times,5
539,@SocDems Will u have a candidate in Dublin Rathdown area? We r stuck with the usual 'has beens' and career politicians GE16,3
540,#MakeASmartVote in #GE16. \nMatch with candidates that share your views at   - now live! @TheUSI @smartvoteie,7
541,It's time to elect a government who look after the tax payers instead of the insiders #GE16\n\nVote @RENUAIreland,5
542,"At an oratory in Ahascragh, Independent spokesperson Jetpack \u00d3'Grianna said much could be learned from lengthier eels. #ge16",4
543,Proud to be @fiannafailparty tonight. Great speech by @MichealMartinTD .. #GE16 Let's be having you! #af16,9
544,I love election time. Promise me everything. My vote is on sale. #GE16,10
545,#TTIP will be a bigger treat than #Daesh to Europeans! and is an election issue in the #Irish #GeneralElection #GE16\n,3
546,NEW Online clinic this Tuesday in conjunction with @GalwayHour message me your questions via @twitter @facebook &amp; @Snapchat #GE16 #af16 #FF,5
547,At yesterday's jar opening Social Democrats spokesperson Seamus Federation unveiled more traffic wardens. #ge16,6
548,24 Fine Gael oireachtas members are landlords. No wonder theres so much inaction on housing #GE16,2
549,County Clare GPs are considering running a candidate for election - BreakingNews.ie,5
550,Alan Kelly (@labour) and Larry Goodman pose together. How delightful. \n#ge16,2
551,". @delexical the election promise posters are all surreally credulous, like a @Glinner version of Ireland.",1
552,Potential labour seats in #ge2016  5/6 under 10.5 over 5/6 says it all.I would suggest under is the bet #dail,4
553,NO! Fucking brainwashers! Vote and retweet.,0
554,@gemmaod1 Funny the article missed the two main points. #GE16,3
555,Ken Curtin Leading the way #cobh @kencurtin @SocDems,6
556,No better man than #PJMara to be whispering into God's ear to bless @fiannafailparty in #GE16. Will be missed by every1 incl. the pol corrs,8
557,#GE16\ndon't for a second think this government will put you or your family first as the shit hits the fan again \n\n,0
558,Fine Gael and Its Leader want Coronation - Not an Election #GE16,2
559,"Well when the presenters on your side, its a doddle.! ",2
560,Watch this excellent speech by @nbrez and ask every candidate in #GE16 what they will do for mental health,8
561,@LarryPDonnelly You are welcome - busy few weeks ahead for you on #GE16,7
562,Vote @FineGael @Joe_McHugh_TD and @PaddyHarte #fgaf16 #GE16,7
563,"@davemcginn_ie Actually, that is why I stepped down :-) when I decided to stand in #GE16. Very proud of the two guys involved. True gents.",9
564,The difference between winter and summer campaigning with @jerrybuttimer in pictures #GE16,5
565,This is not a debate. It's cheap political point scoring and a scramble for relevancy ahead of #ge16. Nothing more  #dail,2
566,Getting ready for another day #ge16 canvassing in #Cork East\nFlask of @BarrysTeaTweets \u2714\nHang sandwiches \u2714\nWellies \u2714,6
567,@SaturdayRTE  @FineGael adopting @RENUAIreland taxing polices. At least the sheeple will know where they stand before #GE16 #fgaf16,2
568,Fine Gael keeping classy for #fgaf16. Abusing the less well-off? National sport for Dec and the lads. Roll on #ge16,0
569,Good news as not voting is accepting the ruling capitalism which has had power since the formation of the twenty...,3
570,Example of this is @LorHiggins @labour suddenly having meeting for families #GE16 &amp; putting up expensive posters.,2
571,People seem to be reading your emotions as if they are written... More for Leo,4
572,Irritate a #ge16 candidate today: tweet that they're safe as houses and it's their running mate who is in trouble!,7
573,#EndaOUT because YOU don't have your head in the sand.\n\n#GE16 #Right2change #MyHomelessFamily #Right2Water #Ireland,1
574,Despite having so many staff &amp; costing us so much #Kenny still manages to get it wrong #fg #ge16 #countmyfeet #Lab,1
575,According to @pppolitics constituency betting there will be 131 male TDs (83%) and 27 female TDs  (17%) elected in #GE2016 #genderquotas,5
576,Enda propped up by Micheal Lowry is it for this the wild geese fled. #GE16,2
577,Irish Volunteers Commemorative Organisation endorses Sinn F\u00e9in for general election: THE Irish Volunteers Comm...,5
578,"With the addition of Dublin Bay North,all 40 constituencies are now live #ge16 Bet here:",5
579,@mrdavidflane I'd say Alan Kelly is buzzing with the idea! #ge16,7
580,Watch #thebigshort before casting your vote 4 #ge16.The hands off Irish gov approach to financial regulation features throughout #dail,4
581,Election 2016: each party's position on the community &amp; voluntary sector:  #ge16,5
582,\u2018Completely different\u2019: Peter Mathews says he\u2019s not copying Fine Gael colours (via @thejournal_ie)  #GE2016,5
583,"@ThereIsaidso In Thurles recently &amp; asked locals why he gets voted in, answer he has a bank of 20 yrs of favours built up #GE16 #Moriarty",3
584,At #fgaf16 Enda promises 20 acres &amp; a mule ;that means we're gonna get more of the mule shit they've been dishing out since 2011 #ge16 #vinb,0
585,@scrahallia @niallotuathail FF/FG/LAB betrayed the nation. Never forget unsecured bondholders bail-out.#GE16 #vinb,2
586,"From the lotus position atop a plinth, Sinn F\u00e9in Senator Karpos Donohoe repeated calls for pink high visibilty vests. #ge16",4
587,@fb_fitz @SocDems @sinnfeinireland Voting for an independent is acceptable if they are #ProLife and oppose abortion. #GE16,6
588,Michael Ring 2009: \I smell power! I smell power!\ #thatsFineGaelness #GE16  #fgaf16,2
589,"@labour \nSo after 5 yrs,&amp; just 48 days B4 #GE16, u come up with this. It's clear you have no idea what's going on, on the ground #Dubw",1
590,We will be asking each candidate to make a commitment on 4 key policy issues if part of the next government #GE16 #Stand4Justice,5
591,Catch up on Election 2016 analysis  #ge16,5
592,"I'm getting ready for the public meeting on water charges in Breffni Inn (7:30pm) &amp; then I'm on @LatedebateRTE tonight, tune in! #dubw #GE16",6
593,How #politicians campaign in #Ireland. My chapter on #elections and #political #communication #GE16,5
594,Imagine Fianna F\u00e1il could have had this fine mind running for the D\u00e1il on their behalf. #ge16,7
595,This is such powerful viewing. How many stories in Ireland? Things won't change if we don't share #FeelTheBern #GE16\n,6
596,"All the @FineGael Leinster candidates and their probability of election, based on @pppolitics odds #GE16",5
597,Lowrty has to educate #rtenews #drivetimeRTE in the inappropriateness of line of questioning - it's borderline unethical questioning #ge2016,1
598,Say No #BlueMonday We Love to Canvass @ReadaCronin #GE16 #BetterWithSinnFein #stopbluemonday #RuthHackettCumann,8
599,Great day canvassing in Kilmallock #GE16 #INDs4Gov ,8
600,The willing suspension of disbelief'  FF and #ge16 and coalitions according to #TodaySOR,4
601,"111 candidates signed up to #FemGen Manifesto #GE16  If you like this initiative, why not become a member of NWCI?",6
602,"&lt;Halligan and McGrath sum up Burton, Labour and FG succinctly. Vote for them,turn Ireland into a concentration camp",1
603,"All the @FineGael Leinster candidates and their probability of election, based on @pppolitics odds #GE16",5
604,"Yeah. \nThis.\nThis has been the general, standard response in #Dail to ACTUAL concerns &amp; issues of people.\nSigh\n#GE16",1
605,Well done to all who despite the weather got out on a #Right2Water protest\nWe have a #Right2Change at #GE16\n#Ireland,9
606,And of course the #SocDem will go into coalition with FG so what ever they say about abolishing water charges is mere claptrap. #ge16,2
607,Michael McDowell blogs for Paddy Power &amp; asks how \u201cwell\u201d FG needs to do to form another coalition with Labour #ge16,5
608,Dear @fiannafailparty why disable comments for your #GE16 candidates? E.G. This one for your #CWKK Candidate &gt;,3
609,Government pins its re-election on IDA and the jobs it brings in  #Ireland,5
610,Which public represntatives supported Marriage Equality when it was neither profitable nor popular?\n#GE16,4
611,#GE2016 @AlanFarrell Cronyism one of the perks of the job \n,1
612,I've just had my first election candidate call to the door. Thankfully it was for a party I like @greenparty_ie @cathmartingreen #GE2016,8
613,Very positive canvass this evening on Clonsilla Rd...Lots of anger at current and previous Gvts #dubw #ge16,7
614,"Stats note: asking which candidate millennials support is like asking who the Irish support, both groups have same impact on the election",5
615,Jobs minister denies government has watered down employment targets:  #GE16,4
616,"For avoidance of doubt, @KathleenLynchTD voted AGAINST #RepealThe8th in the D\u00e1il on 12 May 2015:  #NTLT #GE16",2
617,#Socialism doesn't take into account that humans are hard-wired to compete. How much good has man&amp;woman's ego driven? #GE16,3
618,#ge16 #charity BEGINS AT HOME,6
619,"Like a bagpipe running out of air, Rabbitte's last gasps defending neoliberal @labour &amp; #irishwater \nCan't wait for the #wipeout #GE16",2
620,Hashtag for tonights social media clinic is #AskAnne hear to answer your questions as a #ge16 candidate for east galway.your voice,6
621,Gotta love the mention of reform in @SpringAJ's twitter bio and then he spends the afternoon defending the appointment of David Begg #GE16,4
622,"Three crises in Irish #EarlyYears sector - affordability, quality and accessibility. #GE16",3
623,@labour @FineGael #Ireland #GE16 How u gonna get ur photo-op Entourage down the hall without kicking him out the way,2
624,Was a straight question @Jocser99 and Fine Gael type waffle reply is worrying @ronanburtenshaw @SocDems #ge16,2
625,Two ads in and I fear a negative #GE16 campaign. The Irish public deserve a vision of a realistic &amp; better future.,3
626,@think_or_swim Kenny afraid to offend the IFA ahead of #GE16,4
627,@joeoreillytd please pledge your support for people with neuro conditions   #GE16 #800000minds #NAI #2016election,6
628,Renowned political journalist and broadcaster Ken Murray joins the IRISH TV team for their 2016 Election coverage.,5
629,@PatKennyNT: Will the decline of rural GPs affect #ge16. They report from Clare.  #NoDoctorNoVillage @chrisgoodey43,5
630,Equal rights and economic parity #whatwomenwantin5words #VoteGreen2016 #GE16,5
631,"Any \shock\ at this is feigned, nobody is surprised at the degrading use of public money by @FineGael #GE16",2
632,The candidates for @FineGael in the Donegal constituency have now been confirmed @Joe_McHugh_TD and Paddy Harte #VoteFG #GE16,6
633,"1 week down, have met lots of constituents..  so many people so little time ! #ge2016 #VoteNo1MaryHoward",8
634,Natasha Harty has completed her WhichCandidate profile  #ge16 #corkeast @greenparty_ie,5
635,Enda Kenny 2011: \..I know how to fix what's been wrong in Ireland for so long\ #GE16,2
636,Encouraging to see the delivery of subsidised high quality childcare in @labour's #GE16 promises,9
637,@loreillysf Likewise. Best of luck to you #ge16,9
638,Averil Power has completed her WhichCandidate profile  #ge16 #dubbn @averilpower,5
639,@thejournal_ie the groundwork for Leo's fat tax is being laid. #GE16,2
640,"\Everything that can be done, is being done.\ \n- Minister Alan Kelly discussing the Housing Crisis on RT\u00c9 Drivetime.\n#GE16 #ByeByeLabour",6
641,Fine Gael lost 3 referenda in Mayo and almost lost another 2 onl y comfortably passed Citizenship Referendum #GE16,5
642,"At an oratory in Ahascragh, Fine Gael Councillor Feta Flaherty accused opponents of ignoring a ban on pointed sticks. #ge16",3
643,"\u201cThis is going to go on and on and on,\u201d #joaniescronies #ge16",2
644,"Hi @steveddaunt  - Yes, we will retweet your piece shortly - we want to give people all the information that is out there re #GE16",5
645,#GE16\n\u201cOnce the people have been deluded into believing that speeches and voting are the only acceptable tools by...,2
646,"IBRC inquiry will not conclude before General Election, Taoiseach confirms",5
647,At this morning's envelope opening Independent candidate Ben McMonstrosity said we could learn a lot from portable e-learning. #ge16,6
648,Lucinda Creighton: \All remaining systems will bow to the First Order\ \n\n#GE16 #Renuamanifesto \n\n,2
649,@kevosullivan07 We just checked our fab tax benefit on the   CALCULATOR under a RENUA FLAT TAX #GE16 #FGAF16,7
650,@tmcarew @BelTel . She dismisses the result of the last all Ireland election of 1918. How is that democratic ?,2
651,We only spent 1/4 of the OCED average on Childcare @StartStrongIrl #ge16 campaign launch @irishcongress,3
652,"Its a natural resource that belongs to the people, Not the EU tyrants making us all citizens of Judea circa AD20.",1
653,Totally agree with @RoisinShortall #socdems manifesto sets out a vision for Ireland over next decade not your typical election time promises,9
654,#GE16  postponed to #GE17 due to amount of advert breaks shown on #vinb,2
655,"Supportin middle income families, rewardin work, rebuildin trust #RENUAIreland #rewardingwork #rebuildingtrust #GE16",9
656,@tigerlil2 I've 'almost' given up on the Irish electorate. 'We' seem to constantly vote for the baddies. I don't understand why.,3
657,Lost in a sea of principles and visions #GE16,4
658,"On the road again for another day on #ge16 campaign trail, I've #spiderman with me today as back up! #tiewatch",7
659,Should be enlarged and displayed in every front window during the #GE16 campaign \ud83d\ude2c\ud83d\ude2c -,6
660,Brendan Howlin (@Labour) will give the new public ethics watchdog the teeth of a Rottweiler.\nAll about jobs.\n#GE16,2
661,Idiotic behaviour by @CarlowH20 tonight at @LordBagenalInn at @PatDeeringTD #Ge16 launch by @campaignforleo #vinb &gt;,0
662,"@banbloodsports - @GreenParty_IE will end hare coursing, fox hunting, hare hunting and mink hunting for sport.  #GE16",6
663,Listen to young people's voices @MHReform #Ourstateofmind #GE16,5
664,The voters are sick as a parrot of @labour,2
665,Tweet about this &amp; guess what #LabouRNU says? Slab Murphy! #ShinnersUnderTheBeds,2
666,Ad for Fianna Fail Tipperary candidate Jackie Cahill... has a dig at Lowry and running mate Michael Smith.  #ge16,4
667,Go West! Burton hasn't a hope #Burtonout #GE16,3
668,@cerenomri @Ostrov_A @haaretzcom Ezra Nawi featured in Ireland's 2011 Presidential election,5
669,The 2016 Irish general election: the parties and the polling,5
670,#af16 #ge16 remember Dermot and Noel were like \who?? IMF. Never heard of them\ when they came after FF policies broke us. #thegoodtimes,2
671,"Can Richard Boyd Barrett TD really not see the bigger picture here, or is he being populist? #GE16     @LaceyDermot",3
672,Ah go on. Decriminalise the drugs too. #rtept #ge16,2
673,"Speaking in a chipper in Cork, Fianna F\u00e1il TD Tierney O'Hannegan repeated calls for a tax on coddle. #ge16",4
674,So will you vote FF in next election #GE16 #FG #Lab #FF #irishwater,5
675,Complete our General Election survey for your chance to win a \u20ac100 voucher from,5
676,"#Jan23 #ge16 Remember folks, every one of these @labour \ngombeen's voted for the Water Services Bill 2014.\n",1
677,"A very good point, #ge16 is looking more and more like the 2002 General Election in reverse",3
678,Make sure u are registered 2 vote.\nTheres still time 2 do so if you havent!\n #VoteLeft,6
679,Martin just tossed out his keynote conf speaker's advice \Don't believe that the local election vote will be repeated in #GE16\.,4
680,@campaignforkate perfectly summing up how I feel about @LCreighton #sanctimonious #outoftouch #doesntrepresentme,0
681,Like what you heard from AAA activists on #vinb tonight? Keep in touch on Facebook  #ge16,6
682,Where are You Registered to vote. #ge16,5
683,#ge16 @LunchtimeNT debate next Monday for #CORKnc,5
684,S&amp;W project 3 seats for @FineGael in #Mayo and 1 for @fiannafailparty in #ge16,5
685,"But questions on bank bailout are \redundant\!Lab leader said it so it must be true,cause they don't lie #GE16",2
686,@TJ_Politics  Why would you order the Political parties numerically but not the TDs? Funny that. #ge16,3
687,#GE16 candidate @Campaign4Perry conforms Belfast company receive mammogram tender. \n\n#SLSDWC,5
688,Irish PTs get involved in politics...the physio way\u263a,4
689,\the official Populist Watch Ire account\ is all about official @labour created harassment tho.,3
690,@itchybollix @HangBlaa if only #GE16 were so simple?,2
691,"Yes, they want to swallow us whole.\nChoke them by VOTING THEM OUT.\n#GE16 #Right2change #fgaf16 #MyHomelessFamily",0
692,Much needed  tea in @blessingtonbook after morning canvassing!It's a chilly day here in West Wicklow #ge16 #wicklow,6
693,@BeverlyMacca1 @ChrisMaloney77 cant vote in Ireland but if i could it would be him,7
694,This yoke will get her answer. Pity she was not in my constituency,1
695,I made a promise not to canvass women getting their hair done but it's a hard one to keep! *throws dirty look at @SarahBardon* #ge16,4
696,Can't stress how important #Jan23 is - let's send em packing.,6
697,"Speaking at a greenhouse in Glenties, Social Democrats Councillor Cliodhna MacEoghain flatly rejected calls for sizzling hot takes. #ge16",4
698,Welcome news from FF's Colm Keaveney on \u20ac1 Billion to Mental Health if elected #suicideprevention #GE16,7
699,Varadkar happy to remain as Health Minster should FG win General Election,5
700,@adamwaynedoyle @Carlow_Co_Co @fiannafailparty Cllr. also a #GE16 candidate. Title of Talk? Rejuvenating Carlow Town Centre. She could've...,5
701,"When the @FineGael &amp; @labour TD's are too scared to debate, why vote for them? #ge16 #vinb",4
702,Looking forward to playing the tracks of @donna_cooney1 Green Party candidate GE16 DBN on Soundtrack tonight @nearfm 8.30pm,6
703,"Noel's #GE16 prediction:\nFG heading for 60, FF 35, SF 24 maybe more, Lab 8, Inds 21, AAA 4, S Dems 3, Renua 2, GP 1",5
704,Ireland needs change this Election.No longer the big Party's saying do as we do but new ethical Party's saying this is how it ought be done.,8
705,Making work pay is at the heart of Fine Gael policy #ge16 #hometowork,6
706,@nearfm Here's a new profile photo #GE16 #DublinBayNorth,5
707,"@FineGael @EndaKennyTD 50k people forced into Tus scheme &amp; scam-bridge you mean,how about an honest days pay for an honest days work? #GE16",1
708,#jan23 #ge16 #right2water #irishwater\nBe part of the change.,7
709,Good to see @LorrCliff and @cardagh with @MichealMartinTD on @rtenews this evening kicking off #GE16 #T\u00fasMaith,8
710,"No level playing pitch in #GE16,particularly for new parties like @RENUAIreland :\nFG to splurge \u20ac3m on election",3
711,#Breaking144 Mary Lou McDonald: Gerry Adams will lead Sinn F\u00e9in into next General Election: Gerry...  #AceNewsDesk,5
712,@EamonMelia @JohnMurphy51 ah sure that makes it ok then #GE16,6
713,It's hard work keeping an Elite Recovery going.\nFine Gael's recovery is for the very wealthy ONLY.\n#GE16 #fgaf16 ,2
714,My recent Op-Ed in Irish Times on giving Irish emigrants (now almost 20\n% of population) the right to vote.  \n,5
715,The official @rtenews Twitter account for Election 2016 information on #clare. Full #ge16 coverage at:,5
716,USI and the Tinder of Politics  #USI #SmartVote #Ge16,6
717,"Parents need choice, affordable high quality childcare will be at heart of FG policy- Francis Fitzgerald #fgaf16 #ge16",6
718,"With #GE16 looming, mental health provision needs to be a front &amp; centre electoral issue. #AnyonesBrother",4
719,@ronanburtenshaw @SocDems don't have a membership and activists will have no substantial say on whatever the joint leaders decide post #GE16,3
720,"At a press conference yesterday, Independent Senator Spare Ribs McNamara said much could be learned from sizzling hot takes. #ge16",4
721,"@IsFearrAnStar Direct Provision is an inhuman, barbaric system, a shame on Ireland @AodhanORiordain #enddp END #DirectProvision #GE16",1
722,@IrelandLive @pNibbler \n\nAbout time.\n\United we stand - divided we fall\ !!!\n\nCome on #ge16,9
723,At times like this I always remember what my dear old gran used say:\nA pre-election promise is as genuine as a whore's kiss. #GE16,2
724,Donnelly: The established parties are going for the 'Fianna F\u00e1il auction politics' approach ahead of #ge16,2
725,Ain't democracy grand? #ge16,8
726,I expect Seanad Reform to be a big issue on the doors in #ge16.\n#seanadreform,7
727,We count 476 declared #GE16 candidates. Find yours and their policies on Poleeto:,5
728,@alanwhelan Hi Al - could you share this #climatechange #ge16 event?,5
729,"Ireland's oldest councillor, Independent Co Donegal councillor Ian McGarvey, 85, will run in the upcoming General Election.",5
730,Great updates from @cllrbarryward on Mohan v Ireland for anyone interested #ge16,8
731,@amomcnally @SundayAMTV3 @NWCI defiantly needs to be shook up!! #womaninpower #GE16,8
732,@newsworthy_ie the best small country in which to grow old with a sense of dignity &amp; respect on a trolley in A&amp;E! #ge16,1
733,Michael McDowell recalls the \u2018Rumble in Ranelagh\u2019 and calls out where #FG can win and lose in #ge16,5
734,I'll vote for whichever party promises to legislate against \power-walkers\ taking up the whole width of the footpath. #dail #ge16 #fb,7
735,Support for Ireland's ruling coalition falls as election looms  #news,6
736,Get involved in the @SocDems #GE16 campaign in Dublin Bay North. Contact cian.ocallaghan@socialdemocrats.ie #SocDems ,6
737,Rule number 1 for #ge16 candidates: Comments on private facebook pages are not private. \n,4
738,Kathleen Funchion-Sinn F\u00e9in at today's #right2water protest in Carlow. #right2change #GE16 #Carlow #Kilkenny,5
739,Is the plight of prospective candidates not being selected for #GE16 the civil rights issue of our time?,3
740,@fiannafailparty accuses @finegael-@Labour of abandoning rural Ireland\n\n#ge16 #ge2016,4
741,"Although we all know where this Motion is going to end up, it's a reminder of the endorsement of corruption just before #GE16 #burtonout",2
742,Fantastic Canvass for Maurice Quinlivan today bring on #GE16 great support from the people #Limerick,10
743,FF took 2000 full time beds FG installed 1000 part time beds #twip #GE16 #PBP,2
744,Reaction to the @SocDems Manifesto launched today in Journal.ie #socdems #GE16 #dubmw #vinb,5
745,Childcare being discussed on #rtept now #GE16 #EarlyYears,5
746,FG/Lab policy to refuse to build social housing is a bloody disgrace. Shame on them. Roll on #ge16. Time for major change. #MyHomelessFamily,0
